# Model: CvmOnlyNet (Backbone: ResNet-50), Loss: FocalLoss (gamma=2.0, weighted)
epoch,train_loss,valid_loss,cvm_accuracy,cvm_f1
1,1.3674,1.6925,0.0714,0.0222
2,1.2048,1.3001,0.0929,0.0610
3,1.1870,2.4999,0.0714,0.0222
4,1.2013,1.4411,0.1929,0.1282
5,1.0950,1.7308,0.0786,0.0284
6,0.9675,1.6830,0.2857,0.1253
7,0.9796,1.4611,0.2500,0.1126
8,0.9663,1.6739,0.3214,0.1658
9,0.6969,1.5765,0.2071,0.1125
10,0.6678,1.5846,0.2429,0.1303
11,0.6560,1.6132,0.2643,0.1452
12,0.6323,1.6316,0.2643,0.1416
13,0.6714,1.6942,0.2429,0.1338
14,0.6035,1.7648,0.3000,0.1600
15,0.6290,1.8271,0.3143,0.1652
16,0.5314,1.6930,0.2929,0.1590
17,0.5709,1.7611,0.2786,0.1465
18,0.5524,1.7444,0.2643,0.1428
19,0.5312,1.7782,0.2571,0.1394
20,0.5514,1.7350,0.2786,0.1497
21,0.6168,1.8200,0.2714,0.1455
22,0.5219,1.8143,0.2643,0.1422
23,0.5541,1.8839,0.2929,0.1568
24,0.5670,1.7935,0.2571,0.1389
25,0.5467,1.8231,0.2714,0.1452
26,0.5601,1.8982,0.3071,0.1578
27,0.5805,1.8660,0.3429,0.1745
28,0.5602,1.8742,0.2929,0.1588
29,0.6244,1.7846,0.2643,0.1401
30,0.6217,1.7953,0.2857,0.1548
31,0.5360,1.8518,0.2929,0.1558
32,0.5633,1.8281,0.2786,0.1481
