# Model: HeatmapModel (Backbone: ResNet-50), Loss: MSELoss
epoch,train_loss,valid_mre
1,0.032524,65.6542
2,0.005980,106.1415
3,0.004166,116.0656
4,0.003512,131.1055
5,0.003254,139.4256
6,0.003147,124.6939
7,0.003064,105.5741
8,0.003030,121.9471
9,0.003017,110.4314
10,0.003004,79.8896
11,0.002994,77.7748
12,0.002987,67.6985
13,0.002965,60.5309
14,0.002947,50.1397
15,0.002932,43.3772
16,0.002921,41.6761
17,0.002923,40.0202
18,0.002897,39.0560
19,0.002883,38.4357
20,0.002875,38.4349
21,0.002847,38.5005
22,0.002838,38.8858
23,0.002829,38.7307
24,0.002814,38.6058
25,0.002804,38.6061
26,0.002797,38.9069
27,0.002796,38.9866
28,0.002792,39.1170
29,0.002791,39.0406
30,0.002781,39.1458
31,0.002778,38.6326
32,0.002785,38.6693
33,0.002775,38.7893
34,0.002771,38.6378
35,0.002777,38.8238
