# Model: HeatmapModel (512px), Loss: MSELoss, Fine-tuned
epoch,train_loss,valid_mre,learning_rate
1,0.001170,10.6317,0.0001
2,0.000811,9.3192,0.0001
3,0.000717,8.8064,0.0001
4,0.000665,8.2358,0.0001
5,0.000612,7.9907,0.0001
6,0.000584,8.1495,0.0001
7,0.000580,7.8608,0.0001
8,0.000563,7.8287,0.0001
9,0.000552,7.7327,0.0001
10,0.000522,7.6936,0.0001
11,0.000517,7.5047,0.0001
12,0.000509,7.7292,0.0001
13,0.000497,7.3431,0.0001
14,0.000495,7.6272,0.0001
15,0.000484,7.4021,0.0001
16,0.000431,6.9685,1e-05
17,0.000401,6.8451,1e-05
18,0.000376,6.7751,1e-05
19,0.000359,6.6782,1e-05
20,0.000346,6.6303,1e-05
21,0.000335,6.5558,1e-05
22,0.000324,6.4228,1e-05
23,0.000316,6.5490,1e-05
24,0.000313,6.4668,1e-05
25,0.000302,6.4285,1e-05
26,0.000300,6.2921,1e-05
27,0.000290,6.2706,1e-05
28,0.000290,6.3162,1e-05
29,0.000285,6.3897,1e-05
30,0.000275,6.2655,1e-05
31,0.000278,6.1742,1e-05
32,0.000263,6.2379,1e-05
33,0.000262,6.0737,1e-05
34,0.000261,6.1012,1e-05
35,0.000255,5.9723,1e-05
36,0.000253,6.0830,1e-05
37,0.000248,6.1056,1e-05
38,0.000249,6.0211,1e-05
39,0.000239,5.9960,1e-05
40,0.000239,5.9672,1e-05
41,0.000240,5.9223,1e-05
42,0.000235,6.0238,1e-05
43,0.000232,6.1297,1e-05
44,0.000229,5.8330,1e-05
45,0.000225,5.9053,1e-05
46,0.000225,5.9863,1e-05
47,0.000219,5.9818,1e-05
48,0.000222,5.9840,1e-05
49,0.000219,5.9380,1e-05
50,0.000217,5.8992,1e-05
51,0.000212,5.8626,2.0000000000000003e-06
52,0.000212,5.7727,2.0000000000000003e-06
53,0.000210,5.8075,2.0000000000000003e-06
54,0.000210,5.8153,2.0000000000000003e-06
55,0.000208,5.8177,2.0000000000000003e-06
56,0.000209,5.8493,2.0000000000000003e-06
57,0.000206,5.7643,2.0000000000000003e-06
58,0.000206,5.8317,2.0000000000000003e-06
59,0.000209,5.8012,2.0000000000000003e-06
60,0.000205,5.8558,2.0000000000000003e-06
61,0.000204,5.7977,2.0000000000000003e-06
62,0.000207,5.8090,2.0000000000000003e-06
63,0.000202,5.7992,2.0000000000000003e-06
64,0.000205,5.7598,4.000000000000001e-07
65,0.000201,5.7930,4.000000000000001e-07
66,0.000206,5.7913,4.000000000000001e-07
67,0.000201,5.8339,4.000000000000001e-07
68,0.000204,5.8051,4.000000000000001e-07
69,0.000202,5.8249,4.000000000000001e-07
70,0.000202,5.7762,4.000000000000001e-07
71,0.000200,5.8055,8.000000000000003e-08
72,0.000204,5.7965,8.000000000000003e-08
73,0.000201,5.8037,8.000000000000003e-08
74,0.000204,5.7754,8.000000000000003e-08
75,0.000204,5.7678,8.000000000000003e-08
76,0.000205,5.7811,8.000000000000003e-08
77,0.000205,5.7734,1.6000000000000008e-08
78,0.000204,5.7761,1.6000000000000008e-08
79,0.000205,5.7785,1.6000000000000008e-08
80,0.000204,5.8258,1.6000000000000008e-08
81,0.000205,5.8089,1.6000000000000008e-08
82,0.000205,5.8036,1.6000000000000008e-08
83,0.000205,5.7818,1.6000000000000008e-08
84,0.000206,5.8129,1.6000000000000008e-08
