# Model: UNetCVMClassifier, Loss: FocalLoss
epoch,train_loss,valid_loss,cvm_accuracy,cvm_f1
1,1.3151,1.4347,0.0714,0.0222
2,1.2456,1.4020,0.0714,0.0222
3,1.2695,1.3486,0.2071,0.1409
4,1.2329,1.3696,0.0714,0.0224
5,1.2493,1.3423,0.0714,0.0222
6,1.2349,1.3827,0.0714,0.0222
7,1.2173,1.3722,0.0714,0.0222
8,1.1753,1.4301,0.1000,0.0694
9,1.2309,1.3075,0.1000,0.0600
10,1.1829,1.3454,0.0714,0.0225
11,1.1711,1.3380,0.0714,0.0233
12,1.2131,1.3462,0.0714,0.0222
13,1.1844,1.3286,0.1000,0.0524
14,1.1612,1.3887,0.0714,0.0222
15,1.1864,1.4016,0.0714,0.0222
16,1.1770,1.3790,0.0714,0.0222
17,1.1293,1.3818,0.0714,0.0222
18,1.1264,1.3862,0.0714,0.0222
19,1.1335,1.3799,0.0714,0.0222
20,1.1198,1.3797,0.0714,0.0224
21,1.1114,1.3762,0.0714,0.0225
22,1.1474,1.3776,0.0714,0.0227
23,1.0693,1.3906,0.0714,0.0225
24,1.1298,1.3960,0.0714,0.0227
25,1.0702,1.3963,0.0714,0.0227
26,1.0536,1.3920,0.0786,0.0287
27,1.0531,1.3951,0.0714,0.0228
28,1.1143,1.4005,0.0714,0.0228
