# Model: CvmOnlyNet (Backbone: ResNet-18), Loss: FocalLoss (gamma=2.0, weighted)
epoch,train_loss,valid_loss,cvm_accuracy,cvm_f1
1,1.7442,9.8021,0.0786,0.0293
2,1.4083,1.3908,0.0286,0.0093
3,1.3469,1.8861,0.3214,0.1221
4,1.3126,1.3591,0.2214,0.0842
5,1.2784,1.3765,0.1500,0.0794
6,1.3474,1.3730,0.0714,0.0406
7,1.2847,1.3847,0.0286,0.0093
8,1.3235,1.3669,0.0714,0.0222
9,1.4059,3.7559,0.3357,0.1059
10,1.2757,5.3308,0.2500,0.0968
11,1.2811,1.4867,0.3500,0.1610
12,1.2414,1.7669,0.2071,0.1186
13,1.2697,1.6558,0.1929,0.1008
14,1.2370,1.4407,0.2929,0.1562
15,1.2556,1.3520,0.2929,0.1362
16,1.2510,1.3840,0.0929,0.0764
17,1.2291,1.3862,0.0643,0.0702
18,1.2363,1.4335,0.0286,0.0093
19,1.2291,1.4432,0.0286,0.0193
20,1.2270,1.4606,0.0286,0.0093
21,1.2846,1.5509,0.0643,0.0437
22,1.2478,1.5612,0.0643,0.0457
23,1.2788,1.5919,0.0500,0.0345
24,1.2287,1.4623,0.0714,0.0504
25,1.2558,1.4627,0.0500,0.0656
26,1.2439,1.4955,0.0500,0.0369
27,1.2418,1.5153,0.0429,0.0312
28,1.2412,1.4716,0.0429,0.0268
29,1.2464,1.5134,0.0500,0.0545
30,1.2444,1.4762,0.0357,0.0238
31,1.2648,1.4740,0.0357,0.0246
32,1.2439,1.4875,0.0500,0.0734
33,1.2474,1.5488,0.0357,0.0257
34,1.2307,1.5485,0.0357,0.0430
35,1.2312,1.5279,0.0429,0.0563
36,1.2133,1.5117,0.0429,0.0679
37,1.2450,1.5421,0.0429,0.0572
38,1.2540,1.4990,0.0429,0.0676
39,1.2428,1.6252,0.0357,0.0273
40,1.2356,1.5135,0.0500,0.0747
41,1.2397,1.5441,0.0429,0.0619
42,1.2518,1.4460,0.0571,0.0746
43,1.2452,1.5165,0.0429,0.0314
44,1.2536,1.4626,0.0357,0.0251
45,1.2524,1.4555,0.0429,0.0657
