# Model: HeatmapModel (Backbone: ResNet-50), Loss: MSELoss, Fine-tuned
epoch,train_loss,valid_mre,learning_rate
1,0.000556,4.7781,1e-05
2,0.000551,4.5966,1e-05
3,0.000546,4.5240,1e-05
4,0.000535,4.4883,1e-05
5,0.000525,4.6851,1e-05
6,0.000523,4.5944,1e-05
7,0.000519,4.6952,1e-05
8,0.000515,4.5485,1e-05
9,0.000510,4.6451,1e-05
10,0.000503,4.6432,1e-05
11,0.000497,4.6107,2.0000000000000003e-06
12,0.000496,4.5477,2.0000000000000003e-06
13,0.000496,4.5396,2.0000000000000003e-06
14,0.000497,4.4938,2.0000000000000003e-06
15,0.000492,4.5674,2.0000000000000003e-06
16,0.000488,4.5326,2.0000000000000003e-06
17,0.000496,4.5698,4.000000000000001e-07
18,0.000489,4.5237,4.000000000000001e-07
19,0.000489,4.5318,4.000000000000001e-07
