# Model: HeatmapModel (512px), Loss: MSELoss, Fine-tuned
epoch,train_loss,valid_mre,learning_rate
1,0.000548,12.0974,0.0001
2,0.000446,10.3117,0.0001
3,0.000405,9.5663,0.0001
4,0.000382,8.7055,0.0001
5,0.000364,8.3581,0.0001
6,0.000345,8.2554,0.0001
7,0.000337,7.9897,0.0001
8,0.000328,7.7306,0.0001
9,0.000318,7.9092,0.0001
10,0.000313,7.6802,0.0001
11,0.000305,7.5360,0.0001
12,0.000299,7.5311,0.0001
13,0.000297,7.5053,0.0001
14,0.000289,7.3883,0.0001
15,0.000286,7.3082,0.0001
16,0.000264,6.9576,1e-05
17,0.000250,6.8070,1e-05
18,0.000240,6.5934,1e-05
19,0.000234,6.4867,1e-05
20,0.000229,6.3131,1e-05
21,0.000223,6.3386,1e-05
22,0.000219,6.1447,1e-05
23,0.000215,6.2973,1e-05
24,0.000211,6.1551,1e-05
25,0.000206,6.1619,1e-05
26,0.000205,6.1814,1e-05
27,0.000200,6.1583,1e-05
28,0.000198,6.0861,1e-05
29,0.000197,6.0986,1e-05
30,0.000194,5.9983,1e-05
31,0.000190,5.9422,1e-05
32,0.000187,6.0089,1e-05
33,0.000186,6.0776,1e-05
34,0.000183,5.9177,1e-05
35,0.000181,5.8791,1e-05
36,0.000178,5.8682,1e-05
37,0.000176,5.8070,1e-05
38,0.000176,5.8466,1e-05
39,0.000175,5.7704,1e-05
40,0.000172,5.9449,1e-05
41,0.000171,5.8804,1e-05
42,0.000170,5.8436,1e-05
43,0.000167,5.6892,1e-05
44,0.000165,5.6311,1e-05
45,0.000164,5.8021,1e-05
46,0.000164,5.7306,1e-05
47,0.000163,5.6352,1e-05
48,0.000163,5.6772,1e-05
49,0.000160,5.7160,1e-05
50,0.000158,5.6176,1e-05
51,0.000158,5.5580,1e-05
52,0.000156,5.7173,1e-05
53,0.000154,5.6751,1e-05
54,0.000154,5.6048,1e-05
55,0.000153,5.6302,1e-05
56,0.000151,5.6260,1e-05
57,0.000150,5.6471,1e-05
58,0.000147,5.5758,2.0000000000000003e-06
59,0.000147,5.6288,2.0000000000000003e-06
60,0.000147,5.5772,2.0000000000000003e-06
61,0.000148,5.5440,2.0000000000000003e-06
62,0.000147,5.5486,2.0000000000000003e-06
63,0.000145,5.5644,2.0000000000000003e-06
64,0.000145,5.5242,2.0000000000000003e-06
65,0.000146,5.5942,2.0000000000000003e-06
66,0.000145,5.5411,2.0000000000000003e-06
67,0.000146,5.5946,2.0000000000000003e-06
68,0.000145,5.5782,2.0000000000000003e-06
69,0.000144,5.5215,2.0000000000000003e-06
70,0.000145,5.5349,2.0000000000000003e-06
71,0.000145,5.5395,2.0000000000000003e-06
72,0.000144,5.5949,2.0000000000000003e-06
73,0.000143,5.5081,2.0000000000000003e-06
74,0.000144,5.5581,2.0000000000000003e-06
75,0.000143,5.5074,2.0000000000000003e-06
76,0.000143,5.4948,2.0000000000000003e-06
77,0.000142,5.5308,2.0000000000000003e-06
78,0.000143,5.5412,2.0000000000000003e-06
79,0.000143,5.5201,2.0000000000000003e-06
80,0.000143,5.5461,2.0000000000000003e-06
81,0.000140,5.5637,2.0000000000000003e-06
82,0.000142,5.5595,2.0000000000000003e-06
83,0.000141,5.5531,4.000000000000001e-07
84,0.000142,5.5213,4.000000000000001e-07
85,0.000139,5.5239,4.000000000000001e-07
86,0.000142,5.5116,4.000000000000001e-07
87,0.000141,5.5222,4.000000000000001e-07
88,0.000141,5.5471,4.000000000000001e-07
89,0.000141,5.5409,8.000000000000003e-08
90,0.000141,5.5334,8.000000000000003e-08
91,0.000140,5.5404,8.000000000000003e-08
92,0.000140,5.5459,8.000000000000003e-08
93,0.000140,5.5391,8.000000000000003e-08
94,0.000140,5.5307,8.000000000000003e-08
95,0.000141,5.5166,1.6000000000000008e-08
96,0.000140,5.5211,1.6000000000000008e-08
