# Plan 1: AttentionMIL with CORAL Loss
epoch,train_loss,valid_loss,f1_macro,kappa,mae,learning_rate
1,0.482119,0.390196,0.1085,0.0019,0.8571,0.0001
2,0.377932,0.376377,0.1437,-0.0164,0.8643,0.0001
3,0.378330,0.371731,0.1390,0.0423,0.8500,0.0001
4,0.370609,0.370732,0.1127,-0.0086,0.8643,0.0001
5,0.372045,0.371672,0.1276,0.0051,0.8786,0.0001
6,0.373527,0.372432,0.1144,-0.0204,0.8857,0.0001
7,0.370777,0.371212,0.1214,-0.0127,0.8857,0.0001
8,0.368736,0.371000,0.1415,0.0766,0.8286,0.0001
9,0.368726,0.370938,0.1483,0.0280,0.8286,0.0001
10,0.359704,0.375596,0.1669,-0.0057,0.8143,0.0001
11,0.365249,0.370552,0.1665,0.0651,0.7929,0.0001
12,0.361548,0.390187,0.1032,-0.0229,0.8857,0.0001
13,0.352497,0.385759,0.1605,0.0187,0.8071,0.0001
14,0.349158,0.376023,0.1394,0.0316,0.8571,0.0001
15,0.348436,0.379200,0.1483,0.0771,0.8143,0.0001
16,0.331136,0.375618,0.1615,0.0785,0.7929,0.0001
17,0.326829,0.403976,0.1420,-0.0798,0.8786,0.0001
18,0.323819,0.383350,0.1562,0.0002,0.8429,0.0001
19,0.320775,0.384243,0.1437,-0.0003,0.8571,0.0001
20,0.305105,0.371777,0.1288,0.0608,0.8643,0.0001
21,0.325632,0.371365,0.1694,0.1202,0.7857,0.0001
22,0.305287,0.364387,0.1474,0.0929,0.8143,0.0001
23,0.296624,0.378240,0.1665,0.0211,0.8071,0.0001
24,0.288889,0.370528,0.1593,0.0405,0.8143,0.0001
25,0.283949,0.550217,0.1081,0.0140,1.3500,0.0001
26,0.289323,0.384735,0.1424,0.0455,0.8429,0.0001
27,0.271778,0.363350,0.1655,0.0740,0.7929,0.0001
28,0.274498,0.398734,0.1684,0.0818,0.8286,0.0001
29,0.281345,0.390355,0.1733,0.1599,0.8000,0.0001
30,0.279070,0.381435,0.1563,0.0253,0.8214,0.0001
31,0.277497,0.355008,0.1444,0.2561,0.8357,0.0001
32,0.271428,0.356356,0.1565,0.1489,0.7857,0.0001
33,0.271722,0.375567,0.1527,0.0167,0.8143,0.0001
34,0.272483,0.373359,0.1356,0.0391,0.8500,0.0001
35,0.266983,0.378893,0.2609,0.1900,0.8214,0.0001
36,0.255325,0.344495,0.1395,0.1862,0.7929,0.0001
37,0.266380,0.361788,0.2004,0.0973,0.8286,0.0001
38,0.251132,0.339061,0.1935,0.2526,0.7286,0.0001
39,0.243800,0.383684,0.1401,0.1197,0.8857,0.0001
40,0.271398,0.362065,0.1772,0.1813,0.7429,0.0001
41,0.260451,0.348378,0.1707,0.2258,0.7429,0.0001
42,0.243566,0.342628,0.2396,0.3365,0.7000,0.0001
43,0.236286,0.358635,0.1847,0.2342,0.7857,0.0001
44,0.236524,0.353723,0.2226,0.2519,0.8214,0.0001
45,0.249343,0.337398,0.1502,0.2100,0.7714,0.0001
46,0.243878,0.371513,0.1422,0.1006,0.8429,0.0001
47,0.238124,0.363010,0.2068,0.2140,0.7643,0.0001
48,0.221646,0.376030,0.2023,0.2116,0.7643,0.0001
49,0.227311,0.350169,0.1916,0.2186,0.7429,0.0001
50,0.211346,0.335584,0.1916,0.2992,0.7714,0.0001
51,0.229355,0.342572,0.3033,0.2672,0.7786,0.0001
52,0.214843,0.356479,0.2159,0.2673,0.7857,0.0001
53,0.218198,0.372970,0.2384,0.1876,0.8214,0.0001
54,0.204293,0.338525,0.1594,0.3060,0.7214,2e-05
55,0.205631,0.320867,0.1947,0.2840,0.7286,2e-05
56,0.186855,0.342947,0.2183,0.3481,0.7286,2e-05
57,0.202840,0.354769,0.2071,0.2337,0.8000,2e-05
58,0.206535,0.342455,0.2840,0.3115,0.6786,2e-05
59,0.178896,0.322399,0.2389,0.3585,0.6571,2e-05
60,0.183994,0.330829,0.2208,0.3996,0.7071,2e-05
61,0.196016,0.334256,0.2981,0.4348,0.6786,2e-05
62,0.194676,0.349068,0.2431,0.2775,0.8000,2e-05
63,0.183322,0.329759,0.2696,0.4177,0.6500,2e-05
64,0.181446,0.328763,0.2090,0.3323,0.7357,2e-05
65,0.172516,0.337640,0.2278,0.4372,0.7143,2e-05
66,0.180726,0.343797,0.2344,0.3628,0.6786,2e-05
67,0.186844,0.366701,0.2239,0.2821,0.7643,2e-05
68,0.189728,0.365362,0.1614,0.2384,0.7929,2e-05
69,0.178116,0.364004,0.2955,0.2730,0.7714,2e-05
70,0.175282,0.360604,0.1728,0.2887,0.7429,2e-05
71,0.182837,0.335409,0.1725,0.2945,0.7571,2e-05
72,0.176166,0.348038,0.1589,0.2436,0.7643,2e-05
